,teamId,win,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,vilemawKills,riftHeraldKills,dominionVictoryScore,bans,queueId,counter,gameCreation,week
1585516910404,Red,1,0,1,1,1,0,1,10,2,1,2,0,2,0,"[{'championId': 38, 'pickTurn': 6}, {'championId': 8, 'pickTurn': 7}, {'championId': 89, 'pickTurn': 8}, {'championId': 202, 'pickTurn': 9}, {'championId': 122, 'pickTurn': 10}]",Flex,1,1585516910404,1.0
1585512930307,Red,1,1,1,1,1,1,1,9,2,1,2,0,1,0,"[{'championId': 64, 'pickTurn': 6}, {'championId': 51, 'pickTurn': 7}, {'championId': 89, 'pickTurn': 8}, {'championId': 202, 'pickTurn': 9}, {'championId': 122, 'pickTurn': 10}]",Flex,1,1585512930307,1.0
1585509801852,Red,0,1,1,1,1,0,1,8,2,1,3,0,1,0,"[{'championId': 69, 'pickTurn': 6}, {'championId': 8, 'pickTurn': 7}, {'championId': 89, 'pickTurn': 8}, {'championId': 202, 'pickTurn': 9}, {'championId': 122, 'pickTurn': 10}]",Flex,1,1585509801852,1.0
1585507341910,Blue,0,0,0,0,0,0,0,2,0,0,0,0,0,0,"[{'championId': 8, 'pickTurn': 1}, {'championId': 90, 'pickTurn': 2}, {'championId': 89, 'pickTurn': 3}, {'championId': 202, 'pickTurn': 4}, {'championId': 122, 'pickTurn': 5}]",Flex,1,1585507341910,1.0
1590870345884,Blue,0,1,0,0,0,0,1,0,0,0,0,0,1,0,"[{'championId': 67, 'pickTurn': 1}, {'championId': 154, 'pickTurn': 3}, {'championId': 114, 'pickTurn': 5}, {'championId': 7, 'pickTurn': 8}, {'championId': 81, 'pickTurn': 10}]",Clash,1,1590870345884,10.0
1590867605744,Blue,1,1,1,1,1,1,1,10,2,1,4,0,1,0,"[{'championId': 202, 'pickTurn': 1}, {'championId': 79, 'pickTurn': 3}, {'championId': 14, 'pickTurn': 5}, {'championId': 111, 'pickTurn': 8}, {'championId': 412, 'pickTurn': 10}]",Clash,1,1590867605744,10.0
1590864378256,Blue,0,0,1,0,0,1,1,2,0,0,1,0,1,0,"[{'championId': 117, 'pickTurn': 1}, {'championId': 102, 'pickTurn': 3}, {'championId': 38, 'pickTurn': 5}, {'championId': 8, 'pickTurn': 8}, {'championId': 61, 'pickTurn': 10}]",Clash,1,1590864378256,10.0
1589140996602,Blue,1,1,1,1,1,0,1,9,2,1,2,0,1,0,"[{'championId': 117, 'pickTurn': 1}, {'championId': 122, 'pickTurn': 3}, {'championId': 106, 'pickTurn': 5}, {'championId': 81, 'pickTurn': 8}, {'championId': 412, 'pickTurn': 10}]",Clash,1,1589140996602,7.0
1589138367186,Blue,0,0,1,0,0,0,1,1,0,0,0,0,1,0,"[{'championId': 119, 'pickTurn': 1}, {'championId': 25, 'pickTurn': 3}, {'championId': 202, 'pickTurn': 5}, {'championId': 111, 'pickTurn': 8}, {'championId': 48, 'pickTurn': 10}]",Clash,1,1589138367186,7.0
1589135516207,Red,1,0,1,1,1,0,1,6,1,1,4,0,1,0,"[{'championId': 516, 'pickTurn': 2}, {'championId': 34, 'pickTurn': 4}, {'championId': 51, 'pickTurn': 6}, {'championId': 21, 'pickTurn': 7}, {'championId': 523, 'pickTurn': 9}]",Clash,1,1589135516207,7.0
